Territory,Gender,Age Class,Duration of Unemployment,Quarter,Year,Unemployment Rate
Mezzogiorno,males,15-74 ,12 months and over,2,2019,10.247174
Mezzogiorno,males,15-74 ,12 months and over,4,2019,9.604157
Mezzogiorno,males,15-74 ,12 months and over,3,2019,9.787104
Mezzogiorno,males,15-74 ,12 months and over,2,2020,7.683718
Mezzogiorno,males,15-74 ,12 months and over,1,2020,9.467129
Mezzogiorno,males,15-74 ,12 months and over,3,2020,9.15223
Mezzogiorno,males,15-74 ,12 months and over,4,2020,9.294086
Mezzogiorno,males,15-74 ,12 months and over,1,2021,10.0389
Mezzogiorno,males,15-74 ,12 months and over,2,2021,9.994422
Mezzogiorno,males,15-74 ,12 months and over,3,2021,9.284722
Mezzogiorno,males,15-74 ,12 months and over,4,2021,9.951863
Mezzogiorno,males,15-74 ,12 months and over,1,2022,9.239729
Mezzogiorno,males,15-74 ,12 months and over,2,2022,8.680022
Mezzogiorno,males,15-74 ,12 months and over,3,2022,7.755402
Mezzogiorno,males,15-74 ,12 months and over,4,2022,8.29351
Basilicata,total,15-64 ,total,2,2018,13.117107
Basilicata,total,15-64 ,total,1,2018,12.689115
Basilicata,total,15-64 ,total,4,2018,13.128368
Basilicata,total,15-64 ,total,3,2018,11.935949
Basilicata,total,15-64 ,total,1,2019,14.768992
Basilicata,total,15-64 ,total,2,2019,9.784781
Basilicata,total,15-64 ,total,4,2019,9.776322
Basilicata,total,15-64 ,total,3,2019,9.818544
Basilicata,total,15-64 ,total,2,2020,7.536178
Basilicata,total,15-64 ,total,1,2020,7.616045
Basilicata,total,15-64 ,total,3,2020,11.003728
Basilicata,total,15-64 ,total,4,2020,9.849832
Basilicata,total,15-64 ,total,1,2021,10.494403
Basilicata,total,15-64 ,total,2,2021,8.381812
Basilicata,total,15-64 ,total,3,2021,6.861442
Basilicata,total,15-64 ,total,4,2021,8.072102
Basilicata,total,15-64 ,total,1,2022,7.017845
Basilicata,total,15-64 ,total,2,2022,8.570776
Basilicata,total,15-64 ,total,3,2022,5.690683
Basilicata,total,15-64 ,total,4,2022,7.799109
Centro (I),females,15-74 ,total,1,2011,8.604517
Centro (I),females,15-74 ,total,2,2011,7.994083
Centro (I),females,15-74 ,total,4,2011,10.433935
Centro (I),females,15-74 ,total,3,2011,8.458807
Centro (I),females,15-74 ,total,2,2012,10.687635
Centro (I),females,15-74 ,total,1,2012,11.444093
Centro (I),females,15-74 ,total,4,2012,11.922921
Centro (I),females,15-74 ,total,3,2012,10.312496
Centro (I),females,15-74 ,total,1,2013,13.259591
Centro (I),females,15-74 ,total,2,2013,11.863517
Centro (I),females,15-74 ,total,4,2013,12.172962
Centro (I),females,15-74 ,total,3,2013,11.440963
Centro (I),females,15-74 ,total,2,2014,12.095396
Centro (I),females,15-74 ,total,1,2014,12.751053
Centro (I),females,15-74 ,total,4,2014,13.504975
Centro (I),females,15-74 ,total,3,2014,12.111012
Centro (I),females,15-74 ,total,1,2015,13.12451
Centro (I),females,15-74 ,total,2,2015,11.512147
Centro (I),females,15-74 ,total,4,2015,11.087963
Centro (I),females,15-74 ,total,3,2015,9.665996
Centro (I),females,15-74 ,total,2,2016,11.635035
Centro (I),females,15-74 ,total,1,2016,11.193367
Centro (I),females,15-74 ,total,4,2016,12.135289
Centro (I),females,15-74 ,total,3,2016,10.392771
Centro (I),females,15-74 ,total,1,2017,12.374278
Centro (I),females,15-74 ,total,2,2017,10.466288
Centro (I),females,15-74 ,total,4,2017,11.333161
Centro (I),females,15-74 ,total,3,2017,10.053411
Centro (I),females,15-74 ,total,2,2018,10.170198
Centro (I),females,15-74 ,total,1,2018,11.907367
Centro (I),females,15-74 ,total,4,2018,10.615132
Centro (I),females,15-74 ,total,3,2018,8.967817
Centro (I),females,15-74 ,total,1,2019,10.674508
Centro (I),females,15-74 ,total,2,2019,9.464214
Centro (I),females,15-74 ,total,4,2019,9.949657
Centro (I),females,15-74 ,total,3,2019,8.079762
Centro (I),females,15-74 ,total,2,2020,7.045431
Centro (I),females,15-74 ,total,1,2020,9.592484
Centro (I),females,15-74 ,total,3,2020,10.263273
Centro (I),females,15-74 ,total,4,2020,9.578328
Centro (I),females,15-74 ,total,1,2021,10.801273
Centro (I),females,15-74 ,total,2,2021,9.911464
Centro (I),females,15-74 ,total,3,2021,9.034985
Centro (I),females,15-74 ,total,4,2021,9.164735
Centro (I),females,15-74 ,total,1,2022,8.486955
Centro (I),females,15-74 ,total,2,2022,8.35321
Centro (I),females,15-74 ,total,3,2022,7.723327
Centro (I),females,15-74 ,total,4,2022,8.104509
Sicilia,females,15-64 ,total,2,2018,23.599761
Sicilia,females,15-64 ,total,1,2018,25.789626
Sicilia,females,15-64 ,total,4,2018,25.669964
Sicilia,females,15-64 ,total,3,2018,22.384964
Sicilia,females,15-64 ,total,1,2019,25.866997
Sicilia,females,15-64 ,total,2,2019,20.669017
Sicilia,females,15-64 ,total,4,2019,23.900069
Sicilia,females,15-64 ,total,3,2019,21.126853
Sicilia,females,15-64 ,total,2,2020,17.559953
Sicilia,females,15-64 ,total,1,2020,22.976716
Sicilia,females,15-64 ,total,3,2020,23.241049
Sicilia,females,15-64 ,total,4,2020,21.038442
Sicilia,females,15-64 ,total,1,2021,21.680049
Sicilia,females,15-64 ,total,2,2021,23.852631
Sicilia,females,15-64 ,total,3,2021,22.564527
Sicilia,females,15-64 ,total,4,2021,18.660965
Sicilia,females,15-64 ,total,1,2022,20.949771
Sicilia,females,15-64 ,total,2,2022,19.202648
Sicilia,females,15-64 ,total,3,2022,20.90526
Sicilia,females,15-64 ,total,4,2022,16.119595
Emilia-Romagna,total,15-74 ,total,2,2018,5.870607
Emilia-Romagna,total,15-74 ,total,1,2018,6.446598
Emilia-Romagna,total,15-74 ,total,4,2018,6.293545
Emilia-Romagna,total,15-74 ,total,3,2018,4.705545
Emilia-Romagna,total,15-74 ,total,1,2019,6.151438
Emilia-Romagna,total,15-74 ,total,2,2019,4.775855
Emilia-Romagna,total,15-74 ,total,4,2019,5.94798
Emilia-Romagna,total,15-74 ,total,3,2019,5.331319
Emilia-Romagna,total,15-74 ,total,2,2020,4.740559
Emilia-Romagna,total,15-74 ,total,1,2020,5.613921
Emilia-Romagna,total,15-74 ,total,3,2020,6.964252
Emilia-Romagna,total,15-74 ,total,4,2020,6.253072
Emilia-Romagna,total,15-74 ,total,1,2021,6.06605
Emilia-Romagna,total,15-74 ,total,2,2021,5.501703
Emilia-Romagna,total,15-74 ,total,3,2021,4.416155
Emilia-Romagna,total,15-74 ,total,4,2021,5.922556
Emilia-Romagna,total,15-74 ,total,1,2022,5.454326
Emilia-Romagna,total,15-74 ,total,2,2022,4.526331
Emilia-Romagna,total,15-74 ,total,3,2022,5.724744
Emilia-Romagna,total,15-74 ,total,4,2022,4.378008
Mezzogiorno,total,15-74 ,12 months and over,2,2018,12.202498
Mezzogiorno,total,15-74 ,12 months and over,1,2018,13.012849
Mezzogiorno,total,15-74 ,12 months and over,4,2018,11.590463
Mezzogiorno,total,15-74 ,12 months and over,3,2018,11.056353
Mezzogiorno,total,15-74 ,12 months and over,1,2019,11.810108
Mezzogiorno,total,15-74 ,12 months and over,2,2019,11.023184
Mezzogiorno,total,15-74 ,12 months and over,4,2019,10.95095
Mezzogiorno,total,15-74 ,12 months and over,3,2019,10.720329
Mezzogiorno,total,15-74 ,12 months and over,2,2020,8.073465
Mezzogiorno,total,15-74 ,12 months and over,1,2020,10.477674
Mezzogiorno,total,15-74 ,12 months and over,3,2020,10.478438
Mezzogiorno,total,15-74 ,12 months and over,4,2020,10.324704
Mezzogiorno,total,15-74 ,12 months and over,1,2021,10.744671
Mezzogiorno,total,15-74 ,12 months and over,2,2021,10.909036
Mezzogiorno,total,15-74 ,12 months and over,3,2021,10.42094
Mezzogiorno,total,15-74 ,12 months and over,4,2021,10.587202
Mezzogiorno,total,15-74 ,12 months and over,1,2022,10.098095
Mezzogiorno,total,15-74 ,12 months and over,2,2022,9.518691
Mezzogiorno,total,15-74 ,12 months and over,3,2022,8.956211
Mezzogiorno,total,15-74 ,12 months and over,4,2022,9.159715
Sicilia,females,15-74 ,total,2,2018,23.392208
Sicilia,females,15-74 ,total,1,2018,25.420831
Sicilia,females,15-74 ,total,4,2018,25.297678
Sicilia,females,15-74 ,total,3,2018,22.131955
Sicilia,females,15-74 ,total,1,2019,25.427648
Sicilia,females,15-74 ,total,2,2019,20.368281
Sicilia,females,15-74 ,total,4,2019,23.499049
Sicilia,females,15-74 ,total,3,2019,20.735619
Sicilia,females,15-74 ,total,2,2020,17.119094
Sicilia,females,15-74 ,total,1,2020,22.535006
Sicilia,females,15-74 ,total,3,2020,22.77434
Sicilia,females,15-74 ,total,4,2020,20.698508
Sicilia,females,15-74 ,total,1,2021,21.185055
Sicilia,females,15-74 ,total,2,2021,23.337643
Sicilia,females,15-74 ,total,3,2021,22.163518
Sicilia,females,15-74 ,total,4,2021,18.441343
Sicilia,females,15-74 ,total,1,2022,20.550733
Sicilia,females,15-74 ,total,2,2022,18.986665
Sicilia,females,15-74 ,total,3,2022,20.527863
Sicilia,females,15-74 ,total,4,2022,15.756636
Puglia,total,15-64 ,total,2,2018,15.949863
Puglia,total,15-64 ,total,1,2018,19.818561
Puglia,total,15-64 ,total,4,2018,16.093097
Puglia,total,15-64 ,total,3,2018,13.144187
Puglia,total,15-64 ,total,1,2019,17.090659
Puglia,total,15-64 ,total,2,2019,14.2075
Puglia,total,15-64 ,total,4,2019,14.805607
Puglia,total,15-64 ,total,3,2019,14.387365
Puglia,total,15-64 ,total,2,2020,12.768761
Puglia,total,15-64 ,total,1,2020,14.850917
Puglia,total,15-64 ,total,3,2020,14.542804
Puglia,total,15-64 ,total,4,2020,15.647998
Puglia,total,15-64 ,total,1,2021,17.021518
Puglia,total,15-64 ,total,2,2021,13.690124
Puglia,total,15-64 ,total,3,2021,14.577394
Puglia,total,15-64 ,total,4,2021,14.014571
Puglia,total,15-64 ,total,1,2022,13.319156
Puglia,total,15-64 ,total,2,2022,10.8932
Puglia,total,15-64 ,total,3,2022,11.302774
Puglia,total,15-64 ,total,4,2022,13.562903
Puglia,total,15-74 ,total,2,2018,15.765749
Puglia,total,15-74 ,total,1,2018,19.604053
Puglia,total,15-74 ,total,4,2018,15.911668
Puglia,total,15-74 ,total,3,2018,13.041122
Puglia,total,15-74 ,total,1,2019,16.824236
Puglia,total,15-74 ,total,2,2019,13.952585
Puglia,total,15-74 ,total,4,2019,14.6408
Puglia,total,15-74 ,total,3,2019,14.131968
Puglia,total,15-74 ,total,2,2020,12.567932
Puglia,total,15-74 ,total,1,2020,14.687521
Puglia,total,15-74 ,total,3,2020,14.302294
Puglia,total,15-74 ,total,4,2020,15.376316
Puglia,total,15-74 ,total,1,2021,16.832169
Puglia,total,15-74 ,total,2,2021,13.52308
Puglia,total,15-74 ,total,3,2021,14.330567
Puglia,total,15-74 ,total,4,2021,13.742142
Puglia,total,15-74 ,total,1,2022,13.142438
Puglia,total,15-74 ,total,2,2022,10.77565
Puglia,total,15-74 ,total,3,2022,11.17613
Puglia,total,15-74 ,total,4,2022,13.328914
Friuli-Venezia Giulia,females,15-74 ,total,2,2018,6.783574
Friuli-Venezia Giulia,females,15-74 ,total,1,2018,8.952508
Friuli-Venezia Giulia,females,15-74 ,total,4,2018,10.060147
Friuli-Venezia Giulia,females,15-74 ,total,3,2018,6.618719
Friuli-Venezia Giulia,females,15-74 ,total,1,2019,9.194388
Friuli-Venezia Giulia,females,15-74 ,total,2,2019,6.954493
Friuli-Venezia Giulia,females,15-74 ,total,4,2019,8.425809
Friuli-Venezia Giulia,females,15-74 ,total,3,2019,7.000779
Friuli-Venezia Giulia,females,15-74 ,total,2,2020,7.528366
Friuli-Venezia Giulia,females,15-74 ,total,1,2020,8.127334
Friuli-Venezia Giulia,females,15-74 ,total,3,2020,7.18604
Friuli-Venezia Giulia,females,15-74 ,total,4,2020,6.953377
Friuli-Venezia Giulia,females,15-74 ,total,1,2021,7.096709
Friuli-Venezia Giulia,females,15-74 ,total,2,2021,7.661786
Friuli-Venezia Giulia,females,15-74 ,total,3,2021,7.580349
Friuli-Venezia Giulia,females,15-74 ,total,4,2021,7.39289
Friuli-Venezia Giulia,females,15-74 ,total,1,2022,6.817693
Friuli-Venezia Giulia,females,15-74 ,total,2,2022,5.25188
Friuli-Venezia Giulia,females,15-74 ,total,3,2022,6.23219
Friuli-Venezia Giulia,females,15-74 ,total,4,2022,8.237419
Umbria,males,15-74 ,total,2,2018,8.046523
Umbria,males,15-74 ,total,1,2018,8.867184
Umbria,males,15-74 ,total,4,2018,7.584895
Umbria,males,15-74 ,total,3,2018,6.683424
Umbria,males,15-74 ,total,1,2019,9.858167
Umbria,males,15-74 ,total,2,2019,7.512066
Umbria,males,15-74 ,total,4,2019,6.120216
Umbria,males,15-74 ,total,3,2019,5.318048
Umbria,males,15-74 ,total,2,2020,4.762853
Umbria,males,15-74 ,total,1,2020,7.703658
Umbria,males,15-74 ,total,3,2020,8.582606
Umbria,males,15-74 ,total,4,2020,7.741718
Umbria,males,15-74 ,total,1,2021,6.638984
Umbria,males,15-74 ,total,2,2021,6.058273
Umbria,males,15-74 ,total,3,2021,6.121247
Umbria,males,15-74 ,total,4,2021,4.731939
Umbria,males,15-74 ,total,1,2022,5.403997
Umbria,males,15-74 ,total,2,2022,7.179213
Umbria,males,15-74 ,total,3,2022,8.363702
Umbria,males,15-74 ,total,4,2022,4.685563
Lombardia,females,15-74 ,total,2,2018,6.668209
Lombardia,females,15-74 ,total,1,2018,7.687208
Lombardia,females,15-74 ,total,4,2018,7.504821
Lombardia,females,15-74 ,total,3,2018,6.455962
Lombardia,females,15-74 ,total,1,2019,7.321005
Lombardia,females,15-74 ,total,2,2019,5.860098
Lombardia,females,15-74 ,total,4,2019,7.862969
Lombardia,females,15-74 ,total,3,2019,5.831721
Lombardia,females,15-74 ,total,2,2020,4.874704
Lombardia,females,15-74 ,total,1,2020,5.757801
Lombardia,females,15-74 ,total,3,2020,7.064716
Lombardia,females,15-74 ,total,4,2020,6.437065
Lombardia,females,15-74 ,total,1,2021,7.709851
Lombardia,females,15-74 ,total,2,2021,6.628311
Lombardia,females,15-74 ,total,3,2021,6.152155
Lombardia,females,15-74 ,total,4,2021,5.757171
Lombardia,females,15-74 ,total,1,2022,6.900123
Lombardia,females,15-74 ,total,2,2022,6.434026
Lombardia,females,15-74 ,total,3,2022,6.176454
Lombardia,females,15-74 ,total,4,2022,5.353526
Sardegna,total,15-74 ,total,2,2018,15.733774
Sardegna,total,15-74 ,total,1,2018,17.939565
Sardegna,total,15-74 ,total,4,2018,17.084687
Sardegna,total,15-74 ,total,3,2018,11.245374
Sardegna,total,15-74 ,total,1,2019,16.947867
Sardegna,total,15-74 ,total,2,2019,14.583922
Sardegna,total,15-74 ,total,4,2019,15.439719
Sardegna,total,15-74 ,total,3,2019,12.69721
Sardegna,total,15-74 ,total,2,2020,10.168315
Sardegna,total,15-74 ,total,1,2020,13.277739
Sardegna,total,15-74 ,total,3,2020,13.577627
Sardegna,total,15-74 ,total,4,2020,15.720096
Sardegna,total,15-74 ,total,1,2021,17.299315
Sardegna,total,15-74 ,total,2,2021,14.328769
Sardegna,total,15-74 ,total,3,2021,10.503022
Sardegna,total,15-74 ,total,4,2021,11.96606
Sardegna,total,15-74 ,total,1,2022,13.017542
Sardegna,total,15-74 ,total,2,2022,11.675415
Sardegna,total,15-74 ,total,3,2022,9.738385
Sardegna,total,15-74 ,total,4,2022,11.74624
Veneto,total,15-74 ,total,2,2018,5.868657
Veneto,total,15-74 ,total,1,2018,6.983692
Veneto,total,15-74 ,total,4,2018,7.433701
Veneto,total,15-74 ,total,3,2018,5.522264
Veneto,total,15-74 ,total,1,2019,6.151244
Veneto,total,15-74 ,total,2,2019,5.645772
Veneto,total,15-74 ,total,4,2019,5.6388
Veneto,total,15-74 ,total,3,2019,5.051135
Veneto,total,15-74 ,total,2,2020,4.751236
Veneto,total,15-74 ,total,1,2020,5.216306
Veneto,total,15-74 ,total,3,2020,6.795228
Veneto,total,15-74 ,total,4,2020,6.929061
Veneto,total,15-74 ,total,1,2021,5.78021
Veneto,total,15-74 ,total,2,2021,4.785313
Veneto,total,15-74 ,total,3,2021,5.273613
Veneto,total,15-74 ,total,4,2021,5.319598
Veneto,total,15-74 ,total,1,2022,5.134741
Veneto,total,15-74 ,total,2,2022,3.97658
Veneto,total,15-74 ,total,3,2022,3.464848
Veneto,total,15-74 ,total,4,2022,4.255229
Campania,females,15-64 ,total,2,2018,22.978841
Campania,females,15-64 ,total,1,2018,25.386385
Campania,females,15-64 ,total,4,2018,22.723868
Campania,females,15-64 ,total,3,2018,24.030777
Campania,females,15-64 ,total,1,2019,23.351248
Campania,females,15-64 ,total,2,2019,21.898823
Campania,females,15-64 ,total,4,2019,25.443428
Campania,females,15-64 ,total,3,2019,22.36867
Campania,females,15-64 ,total,2,2020,17.487547
Campania,females,15-64 ,total,1,2020,22.728049
Campania,females,15-64 ,total,3,2020,23.652823
Campania,females,15-64 ,total,4,2020,20.269924
Campania,females,15-64 ,total,1,2021,20.805041
Campania,females,15-64 ,total,2,2021,24.044512
Campania,females,15-64 ,total,3,2021,23.717256
Campania,females,15-64 ,total,4,2021,21.624972
Campania,females,15-64 ,total,1,2022,20.634439
Campania,females,15-64 ,total,2,2022,19.373901
Campania,females,15-64 ,total,3,2022,20.633823
Campania,females,15-64 ,total,4,2022,20.661415
Puglia,females,15-64 ,total,2,2018,19.016297
Puglia,females,15-64 ,total,1,2018,23.218163
Puglia,females,15-64 ,total,4,2018,18.382999
Puglia,females,15-64 ,total,3,2018,15.374528
Puglia,females,15-64 ,total,1,2019,19.546313
Puglia,females,15-64 ,total,2,2019,16.231795
Puglia,females,15-64 ,total,4,2019,17.611883
Puglia,females,15-64 ,total,3,2019,17.101704
Puglia,females,15-64 ,total,2,2020,15.275645
Puglia,females,15-64 ,total,1,2020,15.594881
Puglia,females,15-64 ,total,3,2020,19.995601
Puglia,females,15-64 ,total,4,2020,17.625542
Puglia,females,15-64 ,total,1,2021,18.569622
Puglia,females,15-64 ,total,2,2021,15.637125
Puglia,females,15-64 ,total,3,2021,19.239194
Puglia,females,15-64 ,total,4,2021,17.042841
Puglia,females,15-64 ,total,1,2022,16.197005
Puglia,females,15-64 ,total,2,2022,13.333912
Puglia,females,15-64 ,total,3,2022,16.053567
Puglia,females,15-64 ,total,4,2022,17.322682
Campania,females,15-74 ,total,2,2018,22.57674
Campania,females,15-74 ,total,1,2018,25.036473
Campania,females,15-74 ,total,4,2018,22.316891
Campania,females,15-74 ,total,3,2018,23.501824
Campania,females,15-74 ,total,1,2019,23.030921
Campania,females,15-74 ,total,2,2019,21.466416
Campania,females,15-74 ,total,4,2019,24.933098
Campania,females,15-74 ,total,3,2019,21.965725
Campania,females,15-74 ,total,2,2020,17.281629
Campania,females,15-74 ,total,1,2020,22.418749
Campania,females,15-74 ,total,3,2020,23.127645
Campania,females,15-74 ,total,4,2020,19.934645
Campania,females,15-74 ,total,1,2021,20.471675
Campania,females,15-74 ,total,2,2021,23.716519
Campania,females,15-74 ,total,3,2021,23.298511
Campania,females,15-74 ,total,4,2021,21.389244
Campania,females,15-74 ,total,1,2022,20.311541
Campania,females,15-74 ,total,2,2022,19.036735
Campania,females,15-74 ,total,3,2022,20.370694
Campania,females,15-74 ,total,4,2022,20.321142
Umbria,total,15-74 ,total,2,2018,9.005703
Umbria,total,15-74 ,total,1,2018,11.025861
Umbria,total,15-74 ,total,4,2018,9.049455
Umbria,total,15-74 ,total,3,2018,7.913934
Umbria,total,15-74 ,total,1,2019,10.414325
Umbria,total,15-74 ,total,2,2019,8.536348
Umbria,total,15-74 ,total,4,2019,7.886941
Umbria,total,15-74 ,total,3,2019,7.080994
Umbria,total,15-74 ,total,2,2020,5.942731
Umbria,total,15-74 ,total,1,2020,9.787255
Umbria,total,15-74 ,total,3,2020,8.749902
Umbria,total,15-74 ,total,4,2020,8.586448
Umbria,total,15-74 ,total,1,2021,7.961844
Umbria,total,15-74 ,total,2,2021,6.601993
Umbria,total,15-74 ,total,3,2021,6.144667
Umbria,total,15-74 ,total,4,2021,5.827246
Umbria,total,15-74 ,total,1,2022,5.79441
Umbria,total,15-74 ,total,2,2022,7.574567
Umbria,total,15-74 ,total,3,2022,8.630398
Umbria,total,15-74 ,total,4,2022,6.604557
Lombardia,total,15-74 ,total,2,2018,6.003136
Lombardia,total,15-74 ,total,1,2018,6.679272
Lombardia,total,15-74 ,total,4,2018,6.098739
Lombardia,total,15-74 ,total,3,2018,5.35326
Lombardia,total,15-74 ,total,1,2019,6.300153
Lombardia,total,15-74 ,total,2,2019,5.120139
Lombardia,total,15-74 ,total,4,2019,5.981679
Lombardia,total,15-74 ,total,3,2019,5.084188
Lombardia,total,15-74 ,total,2,2020,4.070246
Lombardia,total,15-74 ,total,1,2020,4.821152
Lombardia,total,15-74 ,total,3,2020,6.163527
Lombardia,total,15-74 ,total,4,2020,5.663029
Lombardia,total,15-74 ,total,1,2021,6.794993
Lombardia,total,15-74 ,total,2,2021,5.978112
Lombardia,total,15-74 ,total,3,2021,5.423874
Lombardia,total,15-74 ,total,4,2021,5.354496
Lombardia,total,15-74 ,total,1,2022,5.487934
Lombardia,total,15-74 ,total,2,2022,5.017154
Lombardia,total,15-74 ,total,3,2022,4.697371
Lombardia,total,15-74 ,total,4,2022,4.224758
Umbria,females,15-64 ,total,2,2018,10.41288
Umbria,females,15-64 ,total,1,2018,13.889293
Umbria,females,15-64 ,total,4,2018,10.784569
Umbria,females,15-64 ,total,3,2018,9.596047
Umbria,females,15-64 ,total,1,2019,11.243863
Umbria,females,15-64 ,total,2,2019,9.673407
Umbria,females,15-64 ,total,4,2019,10.191699
Umbria,females,15-64 ,total,3,2019,9.311593
Umbria,females,15-64 ,total,2,2020,7.388119
Umbria,females,15-64 ,total,1,2020,12.626971
Umbria,females,15-64 ,total,3,2020,8.98296
Umbria,females,15-64 ,total,4,2020,9.874558
Umbria,females,15-64 ,total,1,2021,9.618926
Umbria,females,15-64 ,total,2,2021,7.432377
Umbria,females,15-64 ,total,3,2021,6.324688
Umbria,females,15-64 ,total,4,2021,7.295149
Umbria,females,15-64 ,total,1,2022,6.149991
Umbria,females,15-64 ,total,2,2022,8.121928
Umbria,females,15-64 ,total,3,2022,8.859883
Umbria,females,15-64 ,total,4,2022,8.642989
Emilia-Romagna,males,15-74 ,total,2,2018,4.827602
Emilia-Romagna,males,15-74 ,total,1,2018,5.003481
Emilia-Romagna,males,15-74 ,total,4,2018,4.593355
Emilia-Romagna,males,15-74 ,total,3,2018,4.075269
Emilia-Romagna,males,15-74 ,total,1,2019,5.294358
Emilia-Romagna,males,15-74 ,total,2,2019,3.544379
Emilia-Romagna,males,15-74 ,total,4,2019,5.531775
Emilia-Romagna,males,15-74 ,total,3,2019,4.275851
Emilia-Romagna,males,15-74 ,total,2,2020,4.033057
Emilia-Romagna,males,15-74 ,total,1,2020,4.415449
Emilia-Romagna,males,15-74 ,total,3,2020,5.982625
Emilia-Romagna,males,15-74 ,total,4,2020,5.440293
Emilia-Romagna,males,15-74 ,total,1,2021,4.601612
Emilia-Romagna,males,15-74 ,total,2,2021,3.305986
Emilia-Romagna,males,15-74 ,total,3,2021,3.415827
Emilia-Romagna,males,15-74 ,total,4,2021,4.69949
Emilia-Romagna,males,15-74 ,total,1,2022,4.923596
Emilia-Romagna,males,15-74 ,total,2,2022,3.828473
Emilia-Romagna,males,15-74 ,total,3,2022,4.4613
Emilia-Romagna,males,15-74 ,total,4,2022,3.077951
Puglia,males,15-64 ,total,2,2018,14.032513
Puglia,males,15-64 ,total,1,2018,17.743746
Puglia,males,15-64 ,total,4,2018,14.731494
Puglia,males,15-64 ,total,3,2018,11.841627
Puglia,males,15-64 ,total,1,2019,15.622243
Puglia,males,15-64 ,total,2,2019,13.009757
Puglia,males,15-64 ,total,4,2019,13.174205
Puglia,males,15-64 ,total,3,2019,12.796093
Puglia,males,15-64 ,total,2,2020,11.314564
Puglia,males,15-64 ,total,1,2020,14.416997
Puglia,males,15-64 ,total,3,2020,11.26991
Puglia,males,15-64 ,total,4,2020,14.486749
Puglia,males,15-64 ,total,1,2021,16.090185
Puglia,males,15-64 ,total,2,2021,12.48337
Puglia,males,15-64 ,total,3,2021,11.728627
Puglia,males,15-64 ,total,4,2021,12.225572
Puglia,males,15-64 ,total,1,2022,11.616702
Puglia,males,15-64 ,total,2,2022,9.390452
Puglia,males,15-64 ,total,3,2022,8.576898
Puglia,males,15-64 ,total,4,2022,11.227622
Lazio,total,15-74 ,total,2,2018,11.841055
Lazio,total,15-74 ,total,1,2018,11.628837
Lazio,total,15-74 ,total,4,2018,11.237151
Lazio,total,15-74 ,total,3,2018,9.731795
Lazio,total,15-74 ,total,1,2019,11.523965
Lazio,total,15-74 ,total,2,2019,9.939851
Lazio,total,15-74 ,total,4,2019,10.008128
Lazio,total,15-74 ,total,3,2019,8.132212
Lazio,total,15-74 ,total,2,2020,6.699566
Lazio,total,15-74 ,total,1,2020,9.284267
Lazio,total,15-74 ,total,3,2020,11.477596
Lazio,total,15-74 ,total,4,2020,9.814431
Lazio,total,15-74 ,total,1,2021,11.285029
Lazio,total,15-74 ,total,2,2021,9.438829
Lazio,total,15-74 ,total,3,2021,9.135413
Lazio,total,15-74 ,total,4,2021,10.259999
Lazio,total,15-74 ,total,1,2022,7.627665
Lazio,total,15-74 ,total,2,2022,7.985362
Lazio,total,15-74 ,total,3,2022,7.426354
Lazio,total,15-74 ,total,4,2022,7.945043
Emilia-Romagna,females,15-74 ,total,2,2018,7.099205
Emilia-Romagna,females,15-74 ,total,1,2018,8.128745
Emilia-Romagna,females,15-74 ,total,4,2018,8.311297
Emilia-Romagna,females,15-74 ,total,3,2018,5.483902
Emilia-Romagna,females,15-74 ,total,1,2019,7.162771
Emilia-Romagna,females,15-74 ,total,2,2019,6.219706
Emilia-Romagna,females,15-74 ,total,4,2019,6.440978
Emilia-Romagna,females,15-74 ,total,3,2019,6.581467
Emilia-Romagna,females,15-74 ,total,2,2020,5.619777
Emilia-Romagna,females,15-74 ,total,1,2020,7.046645
Emilia-Romagna,females,15-74 ,total,3,2020,8.144657
Emilia-Romagna,females,15-74 ,total,4,2020,7.211165
Emilia-Romagna,females,15-74 ,total,1,2021,7.895411
Emilia-Romagna,females,15-74 ,total,2,2021,8.059529
Emilia-Romagna,females,15-74 ,total,3,2021,5.606355
Emilia-Romagna,females,15-74 ,total,4,2021,7.361751
Emilia-Romagna,females,15-74 ,total,1,2022,6.085449
Emilia-Romagna,females,15-74 ,total,2,2022,5.352681
Emilia-Romagna,females,15-74 ,total,3,2022,7.234664
Emilia-Romagna,females,15-74 ,total,4,2022,5.946915
Sicilia,males,15-74 ,total,2,2018,20.077016
Sicilia,males,15-74 ,total,1,2018,21.350785
Sicilia,males,15-74 ,total,4,2018,19.317879
Sicilia,males,15-74 ,total,3,2018,17.701864
Sicilia,males,15-74 ,total,1,2019,20.246182
Sicilia,males,15-74 ,total,2,2019,19.591841
Sicilia,males,15-74 ,total,4,2019,16.050667
Sicilia,males,15-74 ,total,3,2019,17.798242
Sicilia,males,15-74 ,total,2,2020,15.251818
Sicilia,males,15-74 ,total,1,2020,17.05109
Sicilia,males,15-74 ,total,3,2020,17.160899
Sicilia,males,15-74 ,total,4,2020,17.283309
Sicilia,males,15-74 ,total,1,2021,19.698731
Sicilia,males,15-74 ,total,2,2021,18.666343
Sicilia,males,15-74 ,total,3,2021,15.502193
Sicilia,males,15-74 ,total,4,2021,15.20941
Sicilia,males,15-74 ,total,1,2022,17.194852
Sicilia,males,15-74 ,total,2,2022,15.85123
Sicilia,males,15-74 ,total,3,2022,13.632117
